OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,SHAPEAREA,SHAPELEN
12,24,031,702602,24031702602,7026.02,Census Tract 7026.02,G5020,S,505929,0,24031702602,702602,0,702602,65.8,30,4.1,4731,0.04,0.196,62104,0.317,0.119,0.204,0.173,817.644537,171705.35277,120353.262633,51352.090137,62.804908,17.3,818.463,118897.020421,52980.209579,64.731343,17.1,102349.567138,67361.09,83.352628,505883.711298195,4851.10009776657
13,24,031,702800,24031702800,7028,Census Tract 7028,G5020,S,1676119,0,24031702800,702800,0,702800,59.8,36.7,3.4,4780,0.043,0.042,96181,0.266,0.104,0.539,0.101,482.29722,101282.4162,76090.46259,25191.95361,52.233255,10.1,483.26278,75321.5324,26163.6514,54.139595,10.6,68049.99923,37106.24,74.102219,1675958.28205711,6214.0226740081
14,24,031,703215,24031703215,7032.15,Census Tract 7032.15,G5020,S,1432613,0,24031703215,703215,0,703215,83.5,15.6,1,3423,0.093,0.062,79135,0.25,0.354,0.554,0.097,332.363031,69796.23651,55965.097393,13831.139117,41.614553,9.7,332.031,56080.704451,13645.805549,41.097986,10.9,64941.618827,10686.94,29.674737,1432487.69943203,7172.68592791518
15,24,031,700711,24031700711,7007.11,Census Tract 7007.11,G5020,S,4526181,41475,24031700711,700711,0,700711,87.3,12.1,0.7,5825,0.045,0.097,97632,0.169,0.174,0.706,0.076,443.1427,93059.967,52833.980245,40225.986755,90.774341,7.6,442.7,66036.398389,26930.601611,60.832622,7.1,65603.106955,18474.38,46.143392,4567294.70287775,9245.90641039149
16,24,031,705701,24031705701,7057.01,Census Tract 7057.01,G5020,S,1923798,0,24031705701,705701,0,705701,83.2,15.6,1.2,4278,0.028,0.036,150069,0.019,0.044,0.715,0.046,196.788,41325.48,36786.669371,4538.810629,23.064469,4.6,196.788,36612.383465,4713.096535,23.950122,3.8,28750.037334,4853.74,30.332477,1923612.68065228,6460.68925269253
17,24,031,704502,24031704502,7045.02,Census Tract 7045.02,G5020,S,2147705,0,24031704502,704502,0,704502,85.3,11.9,2.8,2560,0.03,0.007,201111,0.005,0.027,0.952,0.003,7.68,1612.8,1555.22916,57.57084,7.496203,0.3,7.68,1553.440691,59.359309,7.729077,0.4,2046.815508,165.74,15.731254,2147500.84087363,7000.08142714471
18,24,031,703302,24031703302,7033.02,Census Tract 7033.02,G5020,S,1652232,16709,24031703302,703302,0,703302,76.2,23.3,0.5,4354,0.124,0.049,80469,0.168,0.495,0.69,0.069,300.426,63089.46,50429.568663,12659.891337,42.139799,6.9,300.426,50456.651316,12632.808684,42.049652,7.7,56786.261332,14636.63,43.035111,1668794.6040646,6989.95512034876
19,24,031,703213,24031703213,7032.13,Census Tract 7032.13,G5020,S,599160,1142,24031703213,703213,0,703213,77.3,21.9,0.8,6172,0.108,0.154,48456,0.437,0.404,0.207,0.174,1073.928,225524.88,180937.92973,44586.95027,41.517635,17.4,1075.001928,182421.494308,43328.910572,40.305891,19.6,204116.273421,33212.29,29.387867,600248.315546031,3079.82417743215
20,24,031,701703,24031701703,7017.03,Census Tract 7017.03,G5020,S,1101514,0,24031701703,701703,0,701703,71.6,26.1,2.3,3571,0.057,0.05,80565,0.407,0.177,0.562,0.114,407.094,85489.74,40988.468854,44501.271146,109.314485,11.4,407.094,43409.696992,42080.043008,103.366896,11.2,54751.11064,32813.85,78.694814,1101409.87785911,5528.18142816339
21,24,031,701313,24031701313,7013.13,Census Tract 7013.13,G5020,S,2620987,1882,24031701313,701313,0,701313,87.9,10,2.1,3690,0.063,0.033,111853,0.227,0.125,0.863,0.066,243.54,51143.4,45172.651826,5970.748174,24.516499,6.6,243.29646,44610.372652,6481.883948,26.641916,7.1,42055.275067,12425.86,47.896054,2622659.25341383,7722.8168637506
22,24,031,703403,24031703403,7034.03,Census Tract 7034.03,G5020,S,1218581,0,24031703403,703403,0,703403,77.8,21.7,0.6,3773,0.113,0.182,67167,0.206,0.458,0.756,0.093,351.239889,73760.37669,57680.481702,16079.894988,45.780378,9.3,351.239889,58096.784722,15663.591968,44.59514,7.2,43753.4892,10360.99,40.207504,1218473.84689607,5407.72326590798
